,state,city,laid_off,date,month,year
35992,Washington,Puget Sound,126.0,2009-09-18,September,2009
35993,Washington,Bellevue,59.0,2009-09-15,September,2009
35994,Washington,Seattle,138.0,2009-09-14,September,2009
35995,Washington,Redmond,27.0,2009-09-03,September,2009
35996,Washington,Statewide,77.0,2009-08-31,August,2009
35997,Washington,Auburn,109.0,2009-08-28,August,2009
35998,Washington,Snoqualmie,75.0,2009-08-28,August,2009
35999,Washington,Puget Sound,279.0,2009-08-21,August,2009
36000,Washington,Statewide,45.0,2009-08-14,August,2009
36001,Washington,Puget Sound,45.0,2009-07-31,July,2009
36002,Washington,Orondo,94.0,2009-07-27,July,2009
36003,Washington,Orondo,67.0,2009-07-20,July,2009
36004,Washington,Puget Sound,104.0,2009-07-17,July,2009
36005,Washington,Silverdale,8.0,2009-07-17,July,2009
36006,Washington,Ferndale,90.0,2009-07-01,July,2009
36007,Washington,Bellevue,2.0,2009-06-26,June,2009
36008,Washington,Puget Sound,157.0,2009-06-19,June,2009
36009,Washington,Washougal,58.0,2009-06-12,June,2009
36010,Washington,Seattle,40.0,2009-06-08,June,2009
36011,Washington,Tacoma,240.0,2009-06-04,June,2009
36012,Washington,Algona,62.0,2009-06-01,June,2009
36013,Washington,Seattle,81.0,2009-05-28,May,2009
36014,Washington,Cosmopolis,53.0,2009-05-22,May,2009
36015,Washington,Puget Sound,117.0,2009-05-22,May,2009
36016,Washington,Bellevue,45.0,2009-05-18,May,2009
36017,Washington,Olympia,41.0,2009-05-15,May,2009
36018,Washington,Bothell,101.0,2009-05-14,May,2009
36019,Washington,Redmond,1200.0,2009-05-05,May,2009
36020,Washington,Lacey,45.0,2009-05-04,May,2009
36021,Washington,Tacoma,111.0,2009-05-04,May,2009
36022,Washington,Seattle,170.0,2009-04-30,April,2009
36023,Washington,Puget Sound,119.0,2009-04-21,April,2009
36024,Washington,Bothell,100.0,2009-04-17,April,2009
36025,Washington,Morton,124.0,2009-04-08,April,2009
36026,Washington,Darrington,118.0,2009-04-08,April,2009
36027,Washington,Tukwila,45.0,2009-04-07,April,2009
36028,Washington,Clarkston,74.0,2009-04-03,April,2009
36029,Washington,Seattle,2.0,2009-04-01,April,2009
36030,Washington,Bellevue,24.0,2009-03-31,March,2009
36031,Washington,Sumner,43.0,2009-03-31,March,2009
36032,Washington,Vancouver,70.0,2009-03-20,March,2009
36033,Washington,Puget Sound,710.0,2009-03-20,March,2009
36034,Washington,Toutle,1.0,2009-03-05,March,2009
